bubble,insertion,merge,quick
34.0,24.0,26.0,30.0
50.0,16.0,47.0,29.0
34.0,18.0,26.0,39.0
73.0,18.0,33.0,27.0
73.0,20.0,43.0,30.0
73.0,16.0,37.0,50.0
39.0,18.0,31.0,50.0
50.0,20.0,27.0,51.0
50.0,19.0,19.0,29.0
34.0,19.0,33.0,42.0
73.0,19.0,22.0,41.0
39.0,18.0,44.0,52.0
100.0,14.0,25.0,38.0
73.0,18.0,53.0,40.0
73.0,14.0,33.0,75.0
50.0,18.0,19.0,34.0
34.0,21.0,26.0,44.0
48.0,27.0,44.0,30.0
39.0,14.0,21.0,100.0
94.0,17.0,37.0,86.0
34.0,25.0,40.0,59.0
73.0,20.0,30.0,71.0
50.0,22.0,21.0,53.0
73.0,12.0,26.0,76.0
44.0,21.0,37.0,50.0
34.0,25.0,42.0,59.0
39.0,27.0,25.0,83.0
50.0,15.0,25.0,50.0
73.0,18.0,27.0,39.0
50.0,17.0,33.0,68.0
