bubble,insertion,merge,quick
352,1446,962,668
339,1415,974,669
335,1402,974,676
370,1482,1045,668
374,1465,962,668
346,1474,996,643
355,1479,1068,657
356,1448,1068,657
323,1427,955,659
356,1443,1000,632
347,1465,955,659
351,1482,1000,632
345,1463,1000,712
343,1500,987,656
337,1413,992,652
338,1451,1003,656
360,1393,1001,631
360,1431,1001,632
354,1422,983,692
355,1405,1022,632
325,1443,983,692
352,1423,955,688
357,1373,955,688
356,1476,992,652
354,1431,970,659
350,1472,970,659
349,1460,992,652
350,1422,1000,643
348,1454,996,643
367,1454,996,643
323,1422,1000,643
343,1472,970,659
354,1435,992,652
342,1476,992,652
334,1431,970,659
363,1373,955,688
345,1423,955,688
351,1443,983,692
346,1405,1022,632
345,1422,983,692
340,1431,1001,632
355,1393,1001,631
361,1451,1003,656
355,1500,987,656
342,1413,992,652
358,1463,1000,712
354,1442,1000,632
352,1465,955,659
356,1443,1000,632
335,1448,1068,657
342,1427,955,659
361,1474,996,643
348,1382,1068,657
357,1465,962,668
333,1402,974,676
341,1482,1045,668
333,1446,962,668
351,1415,974,669
335,1482,1045,668
342,1427,974,676
336,1415,1045,669
375,1435,1045,668
354,1437,974,676
345,1402,1045,669
356,1438,955,659
347,1448,1068,657
355,1479,1068,657
328,1405,996,643
359,1438,989,654
344,1442,1000,632
344,1463,1068,620
336,1443,1000,632
367,1425,987,621
321,1500,1003,656
357,1457,987,656
348,1451,1001,632
342,1428,1001,631
337,1443,983,692
338,1422,983,648
336,1453,1005,692
361,1373,955,688
346,1461,961,631
313,1453,955,688
337,1435,992,652
342,1472,970,659
332,1472,970,659
377,1476,992,652
337,1461,999,652
355,1461,999,652
344,1472,970,659
353,1476,992,652
352,1435,992,652
340,1472,970,659
363,1453,955,688
349,1461,961,631
363,1373,955,688
362,1453,1005,692
356,1422,983,648
352,1443,983,692
354,1428,1001,631
336,1431,1001,632
344,1457,987,656
343,1451,1003,656
312,1425,987,621
350,1463,1068,620
357,1443,1000,632
319,1442,1000,632
336,1479,1068,657
344,1438,989,654
318,1474,996,643
356,1438,955,659
351,1382,1068,657
348,1402,1045,669
343,1437,974,676
