bubble,insertion,merge,quick
162,14,17,39
154,15,20,33
159,17,15,28
205,24,17,39
131,16,17,39
152,18,18,35
205,19,24,24
136,18,17,24
146,18,18,35
108,21,17,39
160,22,17,27
190,16,17,39
129,17,18,26
108,19,21,28
117,17,17,33
224,16,21,28
137,18,21,25
167,22,21,25
136,16,29,28
180,20,18,36
180,18,29,28
142,18,24,27
147,19,24,27
187,18,16,33
131,18,18,30
153,19,16,30
166,18,16,33
108,16,18,29
145,18,18,30
184,18,18,30
98,19,18,29
154,20,16,30
115,18,16,33
184,18,16,33
125,20,18,30
221,19,24,27
214,20,24,27
144,18,29,28
156,20,18,36
147,19,29,28
196,22,21,25
110,18,21,25
126,16,21,28
124,19,21,28
196,17,17,33
224,17,18,26
191,16,17,39
147,22,17,27
155,21,17,39
158,18,17,24
173,18,18,35
205,18,18,35
160,19,24,24
143,16,17,39
124,17,15,28
178,19,17,39
118,14,17,39
134,15,20,33
175,19,17,39
174,17,15,28
114,15,20,33
202,24,17,39
134,24,15,28
118,21,20,33
152,17,18,35
210,18,17,24
134,18,24,24
149,18,18,35
182,19,17,39
246,16,17,39
151,19,24,24
248,19,17,39
127,18,21,28
151,19,21,28
174,18,21,28
145,22,21,25
302,18,21,25
201,16,29,28
165,19,29,28
162,20,24,28
131,19,24,27
130,17,21,34
137,20,24,27
150,20,16,33
184,19,16,30
147,18,18,30
157,16,16,29
296,18,16,30
166,18,16,28
133,18,18,30
123,16,16,29
157,20,16,33
186,19,16,30
245,20,24,27
194,18,21,34
144,19,24,27
159,20,24,28
195,19,29,28
171,16,29,28
144,18,21,25
230,22,21,25
238,18,21,28
192,16,21,28
158,18,21,28
155,19,24,24
174,21,17,39
144,16,17,39
120,18,24,24
214,19,17,39
155,18,18,35
167,17,18,35
169,19,24,24
121,15,20,33
150,24,15,28
93,15,20,33
224,14,17,39
156,19,17,39
146,17,15,28
158,16,15,28
151,17,15,33
127,19,17,39
148,14,17,39
151,20,20,33
122,18,20,33
236,17,24,24
153,15,17,39
137,19,17,39
215,18,17,24
269,18,18,35
163,20,20,26
148,17,18,35
147,19,24,24
213,16,21,28
119,18,21,28
187,18,21,34
144,18,24,28
180,16,29,28
142,17,21,25
173,16,21,25
170,16,21,28
136,17,21,34
197,17,24,27
135,18,24,27
180,19,24,28
141,19,16,30
152,20,16,30
121,17,16,33
173,16,16,29
125,17,18,30
132,16,16,29
107,17,18,30
138,20,16,30
104,18,16,33
132,19,16,30
125,19,24,28
147,18,24,27
181,17,24,27
145,17,21,34
142,16,21,25
119,16,21,28
174,17,21,25
130,16,29,28
195,18,24,28
135,18,21,34
122,18,21,28
153,16,21,28
182,17,18,35
151,19,24,24
145,16,17,24
154,20,20,26
154,18,18,35
95,19,17,39
112,17,24,24
152,15,17,39
144,18,20,33
179,14,17,39
121,20,20,33
110,17,15,28
106,19,17,39
142,16,15,28
206,17,17,36
131,20,20,33
166,16,17,39
153,19,17,39
138,17,15,28
152,16,17,27
135,19,17,39
119,15,17,39
248,19,24,24
151,18,18,35
170,18,18,35
130,16,17,24
160,18,21,28
183,22,21,28
201,18,17,33
111,16,18,26
132,19,29,28
260,20,24,28
150,22,21,25
176,16,21,25
208,17,21,25
115,18,24,27
226,17,24,27
153,15,16,29
248,18,18,30
182,16,16,29
191,17,16,33
205,17,16,30
147,18,18,35
129,18,18,35
190,17,17,33
210,20,16,30
144,18,18,30
143,16,16,29
141,18,16,29
117,19,24,27
130,17,24,27
230,22,21,25
135,16,21,25
246,22,21,25
149,20,24,28
241,19,29,28
178,16,18,26
191,22,21,28
105,17,17,33
148,18,21,28
133,17,18,35
170,16,17,24
148,19,24,24
139,18,18,35
117,15,17,39
154,19,17,39
138,16,17,27
163,19,17,39
168,17,15,28
127,20,20,33
149,16,17,39
141,17,17,36
199,18,16,28
114,18,16,28
145,18,16,28
126,18,16,27
182,19,16,28
152,17,18,26
105,16,17,31
149,18,20,26
135,18,17,31
151,16,18,26
221,18,22,25
125,16,24,27
129,15,24,27
141,16,21,28
183,17,23,27
122,20,21,29
121,18,21,29
186,17,17,31
113,18,21,30
238,19,21,30
191,17,24,35
185,16,24,35
176,15,24,35
132,15,16,29
162,19,19,31
148,18,19,31
264,17,23,29
147,17,16,28
169,20,16,30
161,20,16,30
115,17,16,28
122,19,19,31
180,17,23,29
264,15,16,29
106,19,19,31
143,15,24,35
131,16,24,27
141,19,24,35
241,19,21,30
203,19,21,30
186,17,17,31
160,17,23,29
103,20,21,29
242,17,23,27
135,15,24,27
161,16,21,28
112,18,22,25
164,16,24,27
162,18,17,31
209,16,18,26
141,21,18,26
136,18,20,26
162,16,17,31
113,19,16,28
166,18,16,28
164,18,16,27
139,19,16,28
126,18,16,28
236,18,23,27
168,18,16,28
136,19,16,28
180,18,16,28
209,18,14,36
177,17,23,27
145,16,22,25
129,18,17,31
179,16,17,31
183,17,18,26
129,20,17,27
254,18,21,28
175,15,24,27
191,19,24,27
117,17,23,29
340,18,21,29
213,19,21,30
223,19,21,30
199,17,18,36
184,15,24,35
141,18,24,27
166,17,23,29
145,19,19,31
127,18,19,31
134,15,16,29
173,17,18,31
218,17,18,31
145,19,19,31
168,15,16,29
205,17,23,29
163,19,19,31
138,16,24,27
164,15,24,35
193,17,18,36
131,19,21,30
141,19,21,30
126,18,21,29
205,17,23,29
160,16,24,27
192,18,21,28
117,15,24,27
133,18,17,27
100,16,17,31
131,17,18,26
133,16,22,25
207,18,17,31
130,17,23,27
149,18,14,36
169,18,16,28
142,18,16,28
102,18,23,27
134,18,16,28
150,19,14,28
150,16,16,28
174,18,16,27
165,17,16,28
273,19,16,30
148,20,23,29
140,16,24,27
114,18,21,28
153,16,17,31
134,19,23,27
156,16,17,31
123,18,22,25
177,21,18,26
182,18,17,31
133,16,23,29
167,20,21,29
257,21,18,36
165,19,21,30
205,19,21,30
191,19,24,35
113,18,24,27
124,16,18,31
161,17,19,31
110,16,16,29
133,17,16,29
125,19,19,30
157,17,16,29
161,19,19,30
178,17,19,31
124,16,23,29
137,16,18,31
154,18,24,27
132,15,24,35
103,19,21,30
166,19,21,30
150,21,18,36
153,20,21,29
201,16,23,29
211,21,18,26
195,18,17,31
167,16,17,31
144,18,22,25
124,19,23,27
155,17,17,27
133,16,24,27
128,19,21,28
125,20,23,29
147,17,16,28
150,19,16,30
154,18,16,28
190,18,16,27
149,16,14,28
135,19,16,28
124,19,16,28
164,18,16,28
288,17,16,27
223,16,16,28
216,19,23,27
134,17,22,25
188,18,21,28
156,16,24,27
153,18,17,31
161,21,18,26
153,18,22,25
162,16,17,31
128,18,20,28
237,20,21,29
257,19,21,30
111,16,23,29
154,18,23,27
167,19,21,30
119,19,21,30
183,18,24,27
142,19,24,35
141,18,24,35
143,17,16,28
239,17,19,30
199,17,16,29
160,17,23,29
135,17,19,31
162,19,16,30
153,19,16,30
199,16,23,29
158,19,19,31
171,17,19,30
146,17,16,29
166,16,16,28
105,19,24,35
121,19,24,35
170,18,24,27
250,19,21,30
128,19,21,30
213,18,23,27
244,17,23,29
196,19,21,30
123,22,21,29
145,18,22,25
148,18,20,28
121,18,17,31
164,18,17,31
120,21,18,26
153,17,22,25
139,18,21,28
147,16,24,27
180,19,23,27
184,18,16,27
160,16,16,28
143,19,16,28
125,18,16,28
149,19,16,28
151,16,15,28
114,16,14,28
116,19,14,36
155,16,16,28
234,17,16,28
160,16,23,27
192,20,23,29
157,18,22,25
126,16,17,27
151,19,21,28
156,17,17,27
181,18,22,25
142,19,22,25
132,17,20,28
170,18,20,26
169,16,23,29
156,19,17,31
130,16,21,30
195,18,23,29
192,17,23,27
220,21,18,36
146,20,21,30
126,17,24,27
196,18,24,35
217,19,24,35
200,17,16,28
174,19,18,31
122,19,18,31
229,16,16,29
160,16,16,29
100,20,16,30
163,19,19,30
108,19,19,30
225,19,16,30
200,16,16,29
169,19,18,31
153,16,16,29
160,17,16,28
173,19,18,31
219,19,24,35
169,18,24,35
172,17,24,27
198,20,18,30
140,21,18,36
149,17,23,27
188,18,23,29
215,16,21,30
133,19,17,31
145,16,23,29
217,18,20,26
192,19,22,25
119,17,20,28
200,17,17,27
125,18,22,25
160,18,22,25
165,19,21,28
195,16,17,27
215,20,23,29
113,16,23,27
142,17,16,27
148,19,14,36
124,16,16,28
181,16,15,28
127,16,14,28
237,19,16,28
137,19,14,36
169,16,14,28
143,17,16,28
189,16,14,28
117,22,23,27
114,18,23,27
98,21,22,25
131,17,17,27
110,16,17,27
161,16,24,35
120,17,22,25
215,16,17,31
191,18,20,26
285,18,20,28
123,16,21,30
128,19,17,31
181,17,23,27
123,18,23,27
122,18,21,30
143,21,18,36
151,19,21,30
208,19,24,35
126,18,24,35
132,16,16,29
164,19,18,31
239,19,18,31
159,17,16,28
175,17,19,30
146,19,19,30
165,20,16,30
125,20,16,30
204,19,19,30
171,17,19,30
108,16,18,31
142,17,16,28
111,16,16,29
143,20,18,31
116,18,24,35
136,19,24,35
139,19,21,30
144,21,18,36
144,18,21,30
139,18,23,27
117,17,23,27
274,17,17,31
122,19,21,30
161,18,20,28
225,18,20,26
128,18,17,31
147,16,24,27
142,16,17,27
159,17,22,25
130,18,22,25
165,17,17,27
172,16,23,27
179,20,23,27
183,16,14,28
132,16,14,28
125,17,16,28
155,19,16,28
141,19,14,28
177,18,16,28
171,21,14,36
219,16,16,28
147,17,16,28
220,19,14,28
127,22,23,27
167,16,23,27
105,18,20,26
