bubble,insertion,merge,quick
52.0,17.0,35.0,87.0
78.0,24.0,65.0,31.0
52.0,17.0,35.0,40.0
61.0,17.0,35.0,40.0
78.0,24.0,65.0,31.0
56.0,14.0,35.0,31.0
52.0,17.0,35.0,87.0
97.0,24.0,56.0,29.0
97.0,20.0,41.0,29.0
31.0,18.0,76.0,45.0
31.0,18.0,76.0,45.0
73.0,24.0,56.0,40.0
31.0,18.0,41.0,45.0
97.0,24.0,56.0,29.0
61.0,27.0,93.0,30.0
56.0,14.0,65.0,31.0
83.0,27.0,93.0,24.0
61.0,27.0,93.0,24.0
60.0,14.0,65.0,33.0
73.0,24.0,56.0,40.0
73.0,24.0,56.0,40.0
61.0,16.0,76.0,27.0
61.0,27.0,65.0,30.0
61.0,24.0,65.0,30.0
82.0,18.0,67.0,51.0
43.0,18.0,30.0,36.0
82.0,19.0,67.0,51.0
34.0,22.0,48.0,28.0
34.0,22.0,48.0,40.0
82.0,19.0,67.0,29.0
43.0,18.0,30.0,36.0
84.0,18.0,30.0,51.0
84.0,18.0,30.0,51.0
84.0,18.0,30.0,51.0
84.0,18.0,30.0,36.0
82.0,19.0,67.0,29.0
34.0,22.0,48.0,40.0
43.0,18.0,30.0,36.0
43.0,18.0,30.0,36.0
34.0,22.0,48.0,28.0
82.0,19.0,67.0,51.0
82.0,18.0,67.0,51.0
61.0,24.0,65.0,30.0
61.0,16.0,76.0,27.0
61.0,27.0,65.0,30.0
73.0,24.0,56.0,40.0
73.0,24.0,56.0,40.0
61.0,27.0,93.0,24.0
60.0,14.0,65.0,33.0
56.0,14.0,65.0,31.0
83.0,27.0,93.0,24.0
61.0,27.0,93.0,30.0
97.0,24.0,56.0,29.0
31.0,18.0,41.0,45.0
73.0,24.0,56.0,40.0
31.0,18.0,76.0,45.0
31.0,18.0,76.0,45.0
97.0,20.0,41.0,29.0
97.0,24.0,56.0,29.0
52.0,17.0,35.0,87.0
56.0,14.0,35.0,31.0
61.0,17.0,35.0,40.0
78.0,24.0,65.0,31.0
78.0,24.0,65.0,31.0
52.0,17.0,35.0,87.0
52.0,17.0,35.0,87.0
78.0,24.0,65.0,31.0
78.0,24.0,65.0,31.0
52.0,17.0,35.0,40.0
52.0,17.0,35.0,87.0
78.0,24.0,65.0,31.0
52.0,17.0,35.0,87.0
56.0,14.0,35.0,31.0
97.0,24.0,56.0,29.0
97.0,20.0,41.0,29.0
83.0,26.0,76.0,45.0
97.0,24.0,56.0,29.0
31.0,18.0,76.0,45.0
31.0,18.0,76.0,45.0
97.0,24.0,56.0,29.0
73.0,24.0,56.0,40.0
56.0,14.0,35.0,31.0
56.0,14.0,65.0,33.0
61.0,27.0,93.0,24.0
83.0,27.0,93.0,24.0
56.0,14.0,65.0,31.0
73.0,24.0,56.0,40.0
73.0,24.0,56.0,40.0
61.0,27.0,65.0,30.0
61.0,27.0,65.0,30.0
84.0,18.0,30.0,36.0
43.0,18.0,30.0,36.0
34.0,22.0,48.0,40.0
82.0,19.0,67.0,29.0
82.0,19.0,67.0,51.0
34.0,22.0,48.0,28.0
43.0,18.0,30.0,36.0
84.0,18.0,30.0,51.0
84.0,18.0,30.0,51.0
84.0,18.0,30.0,51.0
84.0,18.0,30.0,51.0
34.0,22.0,48.0,28.0
82.0,19.0,67.0,51.0
43.0,18.0,30.0,36.0
43.0,18.0,30.0,36.0
82.0,19.0,67.0,29.0
34.0,22.0,48.0,40.0
84.0,18.0,30.0,36.0
61.0,27.0,65.0,30.0
61.0,24.0,65.0,30.0
73.0,24.0,56.0,40.0
73.0,24.0,56.0,40.0
83.0,27.0,93.0,24.0
56.0,14.0,65.0,31.0
56.0,14.0,65.0,33.0
61.0,27.0,93.0,24.0
56.0,14.0,35.0,31.0
73.0,24.0,56.0,40.0
97.0,24.0,56.0,29.0
31.0,18.0,76.0,45.0
31.0,18.0,76.0,45.0
97.0,24.0,56.0,29.0
83.0,26.0,76.0,45.0
97.0,20.0,41.0,42.0
97.0,24.0,56.0,29.0
56.0,14.0,35.0,31.0
52.0,17.0,35.0,87.0
52.0,17.0,35.0,87.0
78.0,24.0,65.0,31.0
78.0,24.0,65.0,31.0
52.0,17.0,35.0,40.0
78.0,24.0,65.0,31.0
52.0,17.0,35.0,87.0
61.0,24.0,65.0,30.0
78.0,24.0,65.0,31.0
52.0,17.0,35.0,87.0
78.0,24.0,65.0,31.0
56.0,14.0,35.0,31.0
97.0,24.0,56.0,29.0
97.0,24.0,56.0,29.0
97.0,24.0,56.0,29.0
83.0,18.0,76.0,45.0
83.0,26.0,76.0,45.0
31.0,18.0,41.0,45.0
31.0,18.0,41.0,45.0
61.0,27.0,93.0,30.0
56.0,14.0,65.0,31.0
56.0,14.0,35.0,31.0
61.0,27.0,93.0,24.0
60.0,14.0,65.0,33.0
61.0,27.0,65.0,30.0
61.0,16.0,76.0,27.0
73.0,24.0,76.0,40.0
82.0,18.0,67.0,51.0
34.0,22.0,48.0,28.0
84.0,18.0,30.0,36.0
84.0,18.0,30.0,36.0
82.0,18.0,67.0,51.0
43.0,18.0,30.0,36.0
82.0,22.0,48.0,28.0
82.0,22.0,48.0,28.0
43.0,18.0,30.0,36.0
84.0,18.0,30.0,36.0
82.0,18.0,67.0,51.0
34.0,22.0,48.0,28.0
82.0,18.0,67.0,51.0
84.0,18.0,30.0,36.0
73.0,24.0,76.0,40.0
61.0,27.0,65.0,30.0
61.0,16.0,76.0,27.0
60.0,14.0,65.0,33.0
56.0,14.0,35.0,31.0
61.0,27.0,93.0,24.0
61.0,27.0,93.0,30.0
56.0,14.0,65.0,31.0
31.0,18.0,41.0,45.0
31.0,18.0,41.0,45.0
83.0,26.0,76.0,45.0
83.0,18.0,76.0,45.0
97.0,24.0,56.0,29.0
97.0,24.0,56.0,29.0
97.0,24.0,56.0,29.0
56.0,14.0,35.0,31.0
78.0,24.0,65.0,31.0
78.0,24.0,65.0,31.0
52.0,17.0,35.0,87.0
52.0,17.0,35.0,87.0
61.0,24.0,65.0,30.0
52.0,17.0,35.0,87.0
78.0,24.0,65.0,31.0
78.0,24.0,65.0,30.0
52.0,17.0,35.0,87.0
52.0,17.0,35.0,87.0
97.0,24.0,56.0,29.0
97.0,24.0,56.0,29.0
83.0,26.0,76.0,45.0
83.0,18.0,76.0,45.0
31.0,18.0,76.0,45.0
31.0,18.0,41.0,45.0
31.0,18.0,41.0,45.0
73.0,24.0,56.0,40.0
61.0,27.0,93.0,24.0
56.0,14.0,35.0,31.0
56.0,14.0,65.0,31.0
61.0,27.0,93.0,30.0
61.0,27.0,93.0,24.0
73.0,24.0,56.0,40.0
73.0,24.0,76.0,40.0
61.0,16.0,76.0,27.0
84.0,18.0,67.0,51.0
84.0,18.0,30.0,36.0
84.0,18.0,30.0,36.0
82.0,18.0,67.0,51.0
34.0,22.0,48.0,28.0
82.0,19.0,67.0,29.0
34.0,22.0,48.0,40.0
82.0,22.0,48.0,28.0
84.0,18.0,30.0,51.0
84.0,18.0,30.0,51.0
34.0,22.0,48.0,40.0
82.0,19.0,67.0,29.0
84.0,18.0,30.0,36.0
34.0,22.0,48.0,28.0
82.0,18.0,67.0,51.0
84.0,18.0,67.0,51.0
84.0,18.0,30.0,36.0
61.0,16.0,76.0,27.0
73.0,24.0,56.0,40.0
73.0,24.0,56.0,40.0
61.0,27.0,93.0,24.0
56.0,14.0,65.0,31.0
61.0,27.0,93.0,30.0
61.0,27.0,93.0,24.0
56.0,14.0,35.0,31.0
73.0,24.0,56.0,40.0
31.0,18.0,41.0,45.0
31.0,18.0,41.0,45.0
31.0,18.0,76.0,45.0
83.0,18.0,76.0,45.0
83.0,26.0,76.0,45.0
97.0,24.0,56.0,29.0
97.0,24.0,56.0,29.0
52.0,17.0,35.0,87.0
78.0,24.0,65.0,30.0
52.0,17.0,35.0,87.0
52.0,17.0,35.0,87.0
78.0,24.0,65.0,31.0
52.0,17.0,35.0,40.0
78.0,24.0,65.0,31.0
52.0,17.0,35.0,87.0
52.0,17.0,35.0,87.0
78.0,24.0,65.0,30.0
83.0,26.0,76.0,45.0
83.0,18.0,76.0,45.0
97.0,24.0,56.0,29.0
97.0,24.0,56.0,29.0
31.0,18.0,41.0,45.0
73.0,24.0,56.0,40.0
31.0,18.0,41.0,45.0
83.0,18.0,76.0,45.0
61.0,27.0,93.0,24.0
56.0,14.0,35.0,31.0
61.0,27.0,93.0,24.0
61.0,27.0,93.0,30.0
56.0,14.0,65.0,31.0
73.0,24.0,76.0,40.0
73.0,16.0,76.0,27.0
73.0,24.0,56.0,40.0
82.0,22.0,48.0,28.0
34.0,22.0,48.0,28.0
82.0,19.0,67.0,29.0
84.0,18.0,30.0,36.0
84.0,18.0,67.0,51.0
82.0,18.0,67.0,51.0
34.0,22.0,48.0,28.0
84.0,18.0,30.0,36.0
84.0,18.0,67.0,51.0
84.0,18.0,67.0,51.0
34.0,22.0,48.0,28.0
82.0,18.0,67.0,51.0
84.0,18.0,30.0,36.0
84.0,18.0,30.0,36.0
84.0,18.0,67.0,51.0
82.0,19.0,67.0,29.0
34.0,22.0,48.0,28.0
82.0,22.0,48.0,28.0
73.0,24.0,56.0,40.0
73.0,16.0,76.0,27.0
73.0,24.0,76.0,40.0
61.0,27.0,93.0,30.0
56.0,14.0,65.0,31.0
56.0,14.0,35.0,31.0
61.0,27.0,93.0,24.0
61.0,27.0,93.0,24.0
83.0,18.0,76.0,45.0
31.0,18.0,41.0,45.0
73.0,24.0,56.0,40.0
31.0,18.0,41.0,45.0
97.0,24.0,56.0,29.0
97.0,24.0,56.0,29.0
83.0,18.0,76.0,45.0
83.0,26.0,76.0,45.0
52.0,17.0,35.0,87.0
78.0,24.0,65.0,30.0
78.0,24.0,65.0,31.0
52.0,17.0,35.0,87.0
52.0,17.0,35.0,40.0
78.0,24.0,65.0,31.0
78.0,24.0,65.0,30.0
52.0,17.0,35.0,87.0
52.0,17.0,35.0,87.0
78.0,24.0,65.0,30.0
56.0,14.0,35.0,87.0
83.0,18.0,76.0,45.0
97.0,20.0,41.0,29.0
83.0,26.0,76.0,45.0
97.0,24.0,56.0,29.0
97.0,24.0,56.0,29.0
31.0,18.0,41.0,45.0
31.0,18.0,41.0,45.0
56.0,14.0,65.0,33.0
56.0,14.0,65.0,31.0
61.0,27.0,93.0,30.0
61.0,27.0,93.0,24.0
56.0,14.0,35.0,31.0
73.0,16.0,76.0,27.0
61.0,24.0,65.0,30.0
73.0,24.0,76.0,40.0
82.0,22.0,48.0,28.0
43.0,18.0,30.0,36.0
84.0,18.0,30.0,36.0
82.0,18.0,67.0,51.0
34.0,22.0,48.0,28.0
84.0,18.0,67.0,51.0
84.0,18.0,30.0,36.0
84.0,18.0,67.0,51.0
84.0,18.0,30.0,36.0
84.0,18.0,30.0,36.0
34.0,22.0,48.0,28.0
82.0,18.0,67.0,51.0
43.0,18.0,30.0,36.0
82.0,22.0,48.0,28.0
61.0,24.0,65.0,30.0
73.0,24.0,76.0,40.0
73.0,16.0,76.0,27.0
61.0,27.0,93.0,24.0
56.0,14.0,35.0,31.0
56.0,14.0,65.0,31.0
61.0,27.0,93.0,30.0
56.0,14.0,65.0,33.0
31.0,18.0,41.0,45.0
31.0,18.0,41.0,45.0
97.0,24.0,56.0,29.0
97.0,24.0,56.0,29.0
83.0,26.0,76.0,45.0
97.0,20.0,41.0,29.0
83.0,18.0,76.0,45.0
56.0,14.0,35.0,87.0
52.0,17.0,35.0,87.0
78.0,24.0,65.0,31.0
78.0,24.0,65.0,30.0
52.0,17.0,35.0,87.0
78.0,24.0,65.0,31.0
76.0,24.0,45.0,53.0
61.0,17.0,49.0,42.0
61.0,17.0,49.0,42.0
76.0,17.0,45.0,53.0
61.0,17.0,49.0,40.0
76.0,17.0,45.0,53.0
72.0,20.0,41.0,42.0
72.0,20.0,41.0,42.0
68.0,18.0,41.0,27.0
68.0,18.0,41.0,45.0
31.0,18.0,41.0,45.0
60.0,20.0,65.0,29.0
83.0,24.0,93.0,31.0
82.0,24.0,93.0,31.0
60.0,14.0,65.0,33.0
68.0,16.0,41.0,27.0
83.0,27.0,93.0,24.0
68.0,16.0,76.0,27.0
61.0,16.0,76.0,27.0
61.0,16.0,76.0,27.0
72.0,20.0,41.0,42.0
61.0,16.0,76.0,27.0
43.0,17.0,45.0,51.0
82.0,24.0,48.0,40.0
63.0,19.0,49.0,29.0
63.0,19.0,67.0,29.0
82.0,24.0,48.0,40.0
76.0,17.0,45.0,51.0
82.0,24.0,48.0,40.0
63.0,19.0,67.0,29.0
63.0,19.0,67.0,29.0
82.0,24.0,48.0,40.0
82.0,24.0,48.0,40.0
