bubble,insertion,merge,quick
111,256,261,181
111,256,261,181
114,260,251,176
132,262,261,185
114,260,251,176
112,260,251,183
132,262,261,181
105,252,240,202
105,252,240,177
118,252,241,177
116,250,244,186
122,242,239,168
116,242,244,186
125,248,252,193
111,248,252,193
123,268,240,202
123,268,248,202
119,248,252,193
119,248,252,190
121,268,248,202
125,250,244,186
114,249,245,190
125,250,245,197
125,250,244,197
114,249,245,185
122,259,251,176
122,259,251,176
122,259,248,191
102,256,232,189
117,259,248,191
117,259,248,191
102,256,232,189
117,259,248,191
102,256,232,189
102,256,232,189
117,259,248,191
122,259,248,191
122,259,251,176
122,259,251,176
125,250,244,197
114,249,245,185
114,249,245,190
125,250,245,197
125,250,244,197
121,268,248,202
119,248,252,190
119,248,252,193
123,268,248,202
123,268,240,202
111,248,239,193
125,248,252,193
116,242,244,186
122,242,239,168
116,250,244,186
118,252,241,177
105,252,240,177
105,252,240,202
112,260,251,183
132,262,261,181
126,264,248,181
132,262,261,185
114,260,251,176
114,260,251,176
111,256,261,181
111,256,261,181
111,256,261,181
111,256,261,181
111,262,261,181
132,262,261,181
112,260,251,183
114,260,251,183
132,262,261,185
126,264,248,181
105,252,240,177
105,252,240,202
125,248,252,193
116,242,244,168
122,242,239,168
111,248,252,193
122,242,239,168
125,248,252,193
123,268,248,202
123,268,240,202
119,248,252,190
119,248,252,193
119,249,245,190
105,252,240,202
114,249,245,185
125,250,244,197
125,250,245,197
114,249,245,190
122,259,251,191
122,259,251,176
102,256,232,189
102,256,232,189
117,259,248,191
117,259,248,191
102,256,232,189
117,259,248,191
102,256,232,189
102,256,232,189
117,259,248,191
102,256,232,189
122,259,251,176
122,259,251,191
125,250,245,197
114,249,245,190
114,249,245,185
105,252,240,202
125,250,244,197
119,249,245,190
119,248,252,193
119,248,252,190
123,268,240,202
123,268,248,202
125,248,252,193
122,242,239,168
111,248,252,193
122,242,239,168
116,242,244,168
125,248,252,193
105,252,240,177
105,252,240,177
114,260,251,176
126,264,248,181
132,262,261,185
132,262,261,181
112,260,251,183
111,262,261,181
111,256,261,181
111,256,261,181
111,256,261,189
111,262,261,181
112,260,251,183
132,262,261,181
132,262,232,185
126,264,248,181
114,260,251,183
111,262,261,181
105,252,240,177
105,252,240,202
125,248,252,193
125,248,252,193
122,242,239,168
116,242,239,168
125,248,252,193
122,242,239,168
119,248,252,190
119,248,252,193
121,268,248,202
123,268,240,202
125,250,244,197
114,249,245,185
123,252,240,202
114,249,245,190
110,250,245,197
119,248,252,190
122,259,251,176
122,259,251,176
117,259,248,191
102,256,232,189
107,256,232,189
117,259,248,191
102,256,232,189
102,256,232,189
107,256,232,189
117,259,248,191
117,259,248,191
102,256,232,189
122,259,251,176
122,259,251,176
119,248,252,190
114,249,245,190
123,252,240,202
110,250,245,197
125,250,244,197
114,249,245,185
123,268,240,202
121,268,248,202
119,248,252,190
119,248,252,190
122,242,239,168
125,248,252,193
116,242,239,168
122,242,239,168
125,248,252,193
125,248,252,193
105,252,240,202
105,252,240,177
111,262,261,181
126,264,248,181
132,262,232,185
114,260,251,183
112,260,251,183
132,262,261,181
111,262,261,181
111,256,261,189
111,262,261,181
111,256,261,181
114,260,251,183
132,262,261,185
126,264,248,181
132,262,261,181
114,260,251,183
114,260,251,176
116,250,244,186
105,252,241,177
105,252,240,202
105,252,240,177
125,248,252,193
111,248,252,193
116,242,239,168
116,242,244,168
119,248,252,190
121,268,248,199
119,248,252,190
123,268,240,202
121,268,248,202
110,250,245,197
114,249,245,190
114,249,245,190
125,250,244,197
125,250,244,186
122,259,251,176
122,259,251,176
117,259,248,191
107,256,232,189
102,256,232,189
117,259,248,191
122,259,251,191
122,259,248,191
102,256,232,189
117,259,248,191
117,259,248,191
107,256,232,189
122,259,251,176
122,259,251,176
125,250,244,186
114,249,245,185
125,250,244,197
110,250,245,197
114,249,245,190
121,268,248,202
123,268,240,202
119,248,252,190
121,268,248,199
119,248,252,190
116,242,244,168
122,242,239,168
111,248,252,193
125,248,252,193
105,252,240,177
105,252,240,202
105,252,241,177
116,250,244,186
114,260,251,176
132,262,261,181
114,260,251,183
114,260,251,183
126,264,248,181
132,262,232,185
111,256,261,181
111,262,261,181
125,257,255,186
125,257,255,186
109,262,232,185
112,260,255,183
109,262,232,185
109,262,232,185
112,257,255,183
124,250,241,204
124,250,241,204
112,270,239,195
112,270,239,195
112,270,239,195
126,242,239,181
111,248,239,193
111,250,235,204
111,270,239,195
126,242,239,181
110,270,248,199
110,270,248,199
119,262,232,192
119,262,245,192
127,249,245,185
110,262,245,197
114,249,245,185
127,249,245,185
110,262,245,197
113,250,248,189
113,250,248,196
113,250,248,196
117,259,248,191
107,256,232,196
107,256,232,196
131,250,248,189
107,256,232,196
131,250,248,189
117,259,248,189
107,256,232,196
113,250,248,196
113,250,248,196
113,250,248,189
127,249,245,185
110,262,245,197
110,262,245,197
114,249,245,185
127,249,245,185
119,262,245,192
119,262,232,192
110,270,248,199
110,270,248,199
126,242,239,181
111,270,239,195
111,250,235,204
111,248,239,193
126,242,248,181
112,270,239,195
112,270,239,195
112,270,239,195
124,250,241,204
124,250,241,204
109,262,232,185
112,257,255,183
112,260,255,183
109,262,232,185
109,262,232,185
125,257,255,186
125,257,255,186
125,257,255,186
125,257,255,186
125,257,255,186
112,257,255,183
109,262,232,185
109,262,232,185
112,260,255,183
124,250,241,204
124,250,241,204
112,270,239,195
118,250,241,204
112,270,239,195
126,242,239,181
111,270,239,195
111,248,239,193
110,270,248,199
