bubble,insertion,merge,quick
4.39,0.24,0.44,0.57
2.9,0.27,0.55,0.55
2.64,0.24,0.37,0.55
4.78,0.28,0.44,0.57
4.38,0.26,0.44,0.56
3.38,0.27,0.37,0.58
4.03,0.26,0.37,0.59
2.89,0.22,0.37,0.59
3.33,0.23,0.33,0.58
3.02,0.26,0.33,0.67
3.17,0.23,0.33,0.53
2.32,0.22,0.33,0.67
3.36,0.26,0.31,0.79
5.75,0.28,0.36,0.52
2.34,0.27,0.35,0.54
2.82,0.27,0.36,0.47
2.97,0.32,0.35,0.52
3.15,0.25,0.35,0.52
3.1,0.3,0.36,0.51
3.71,0.23,0.35,0.57
3.11,0.24,0.36,0.58
4.37,0.22,0.4,0.47
3.65,0.24,0.4,0.47
3.05,0.26,0.35,0.58
3.57,0.23,0.37,0.77
3.84,0.23,0.35,0.54
2.85,0.3,0.35,0.58
2.78,0.27,0.37,0.69
4.87,0.22,0.37,0.77
2.33,0.22,0.37,0.77
3.9,0.24,0.37,0.69
3.36,0.23,0.35,0.54
1.76,0.31,0.35,0.58
3.9,0.26,0.37,0.58
2.27,0.23,0.37,0.77
4.77,0.24,0.4,0.47
3.79,0.22,0.4,0.47
3.16,0.24,0.36,0.58
2.29,0.23,0.35,0.57
3.59,0.3,0.36,0.51
4.74,0.25,0.35,0.52
5.49,0.32,0.35,0.52
2.69,0.27,0.36,0.47
4.79,0.27,0.36,0.52
2.8,0.27,0.35,0.54
2.98,0.26,0.31,0.79
4.15,0.22,0.33,0.67
3.95,0.23,0.33,0.53
6.33,0.24,0.33,0.67
3.66,0.23,0.37,0.59
4.04,0.23,0.33,0.58
3.9,0.27,0.37,0.58
5.04,0.26,0.37,0.59
3.66,0.26,0.44,0.56
3.63,0.24,0.37,0.55
3.47,0.28,0.44,0.57
2.66,0.24,0.44,0.57
6.5,0.27,0.55,0.55
2.51,0.29,0.44,0.57
2.5,0.24,0.55,0.55
5.01,0.27,0.55,0.55
3.35,0.24,0.44,0.57
2.24,0.27,0.37,0.58
2.59,0.28,0.55,0.55
2.27,0.23,0.33,0.58
