bubble,insertion,merge,quick
4,196,11,8
3,175,13,12
8,185,16,14
5,188,11,18
8,195,14,14
7,185,16,18
5,155,14,12
7,161,11,8
2,175,13,14
3,178,13,8
4,169,7,13
5,174,12,15
6,192,14,13
11,193,8,18
5,192,14,14
4,151,12,15
7,185,7,22
4,185,9,13
4,181,8,12
7,182,10,14
6,184,9,20
2,178,9,13
8,196,8,12
8,183,16,12
5,187,6,9
6,173,9,18
7,184,12,13
5,175,15,14
3,177,9,18
10,172,10,13
5,154,16,12
4,182,7,9
6,192,9,12
2,173,13,15
10,191,14,7
4,167,14,18
6,188,14,7
5,177,13,16
6,187,16,12
4,171,9,12
4,175,16,12
4,178,10,8
6,206,10,8
4,170,17,15
4,183,10,14
5,180,15,13
4,214,15,14
8,185,17,11
4,188,15,10
4,172,5,9
4,190,12,15
6,169,15,18
7,185,11,13
3,186,15,18
5,168,5,9
8,178,12,11
10,179,5,18
4,171,10,11
1,164,11,10
6,172,11,7
5,169,10,22
3,188,11,7
6,157,11,10
5,183,5,18
8,176,16,14
5,218,16,14
4,192,6,22
6,170,16,14
5,183,15,9
5,154,5,16
4,168,13,16
2,176,6,16
2,150,19,13
7,192,2,15
4,178,5,18
5,188,6,14
6,182,5,13
7,156,5,15
4,181,5,24
10,184,19,13
5,184,10,15
8,183,11,15
5,184,14,9
4,171,5,24
5,183,14,9
5,178,11,15
3,168,2,12
3,173,10,14
3,171,8,10
3,189,5,18
5,167,5,13
4,172,5,14
10,191,10,10
4,172,5,14
5,166,10,10
3,190,8,10
1,167,5,13
9,189,5,18
3,173,10,14
4,183,14,9
3,191,2,12
3,178,11,15
6,183,11,15
6,171,5,24
7,184,14,9
6,181,5,24
3,156,5,15
3,182,5,13
3,184,10,15
6,163,19,13
6,192,2,15
7,150,19,13
6,188,6,14
6,178,5,18
5,187,6,16
6,178,13,16
5,154,13,16
8,176,15,9
4,170,16,14
4,192,6,22
4,218,16,14
8,179,16,14
2,188,11,7
7,169,10,22
7,183,5,18
2,157,11,22
5,164,11,10
6,171,10,11
3,179,5,18
9,172,11,7
5,186,15,18
6,178,12,11
6,168,5,9
3,190,12,15
3,172,5,9
10,185,11,13
8,170,15,18
7,214,15,14
4,163,15,10
1,185,17,15
5,171,17,15
4,180,15,13
2,183,10,14
9,206,10,8
7,152,10,8
7,175,16,12
4,188,14,7
4,171,9,12
3,187,16,12
3,177,13,16
4,173,13,15
2,192,9,12
3,167,14,18
6,191,14,7
4,171,10,13
6,177,9,18
9,175,15,14
10,182,7,9
3,154,16,12
3,183,6,9
5,183,16,12
3,184,12,13
2,148,9,18
6,196,8,12
7,178,9,13
3,184,9,20
7,171,10,14
8,181,8,12
4,185,9,13
7,181,14,14
11,190,8,18
5,185,7,22
4,151,12,15
6,174,12,15
2,169,7,13
3,178,13,8
3,160,14,13
7,155,14,12
6,171,16,18
3,175,13,12
4,161,11,8
8,176,13,12
2,196,11,8
7,195,14,14
7,164,14,18
7,185,16,14
7,164,11,8
7,175,13,12
3,172,8,12
10,185,16,18
6,155,14,12
5,185,16,14
6,188,11,18
