bubble,insertion,merge,quick
439,24,44,57
290,27,55,55
264,24,37,55
478,28,44,57
438,26,44,56
338,27,37,58
403,26,37,59
289,22,37,59
333,23,33,58
302,26,33,67
317,23,33,53
232,22,33,67
336,26,31,79
575,28,36,52
234,27,35,54
282,27,36,47
297,32,35,52
315,25,35,52
310,30,36,51
371,23,35,57
311,24,36,58
437,22,40,47
365,24,40,47
305,26,35,58
357,23,37,77
384,23,35,54
285,30,35,58
278,27,37,69
487,22,37,77
233,22,37,77
390,24,37,69
336,23,35,54
176,31,35,58
390,26,37,58
227,23,37,77
477,24,40,47
379,22,40,47
316,24,36,58
229,23,35,57
359,30,36,51
474,25,35,52
549,32,35,52
269,27,36,47
479,27,36,52
280,27,35,54
298,26,31,79
415,22,33,67
395,23,33,53
633,24,33,67
366,23,37,59
404,23,33,58
390,27,37,58
504,26,37,59
366,26,44,56
363,24,37,55
347,28,44,57
266,24,44,57
650,27,55,55
251,29,44,57
250,24,55,55
501,27,55,55
335,24,44,57
224,27,37,58
259,28,55,55
227,23,33,58
290,22,37,59
264,26,37,59
218,27,37,58
464,31,33,67
336,26,33,67
438,28,41,59
269,24,33,67
236,24,36,52
418,28,36,52
459,27,36,52
349,24,35,52
382,25,35,52
306,24,36,58
286,30,36,51
396,29,36,58
355,24,40,47
290,23,37,54
571,27,40,47
467,31,35,58
375,23,35,54
262,23,37,77
413,27,37,58
338,29,35,54
293,29,35,54
460,23,37,77
269,26,37,58
416,31,35,58
418,23,35,54
378,27,40,47
291,23,37,54
428,24,40,47
585,29,36,58
242,30,36,51
386,24,36,58
322,25,35,52
297,25,35,52
295,27,36,52
413,28,36,52
344,24,36,52
261,28,41,59
385,24,33,67
293,26,33,67
256,26,37,59
278,31,33,67
327,27,37,58
370,23,33,58
351,22,37,59
261,28,55,55
450,27,37,58
422,28,55,55
329,24,44,57
249,29,44,57
199,24,55,55
503,25,37,58
298,23,55,55
389,29,44,57
323,23,44,56
583,27,55,55
535,26,55,57
250,22,41,63
298,22,33,79
478,31,33,67
347,23,37,59
295,21,33,58
252,27,58,67
357,23,37,58
318,28,41,59
317,27,36,47
488,24,36,52
437,24,37,52
415,24,36,58
254,22,49,51
318,24,35,52
386,32,35,52
262,39,35,67
253,31,37,54
353,26,40,47
262,22,40,47
327,27,36,58
311,23,35,54
403,23,35,54
198,30,35,58
240,27,37,58
254,25,35,77
319,27,37,58
329,23,37,77
