bubble,insertion,merge,quick
243,19,34,40
243,19,36,40
106,21,30,37
214,20,34,34
365,21,30,36
171,15,30,36
214,20,34,34
115,19,33,39
128,19,40,39
135,18,40,45
99,18,30,35
219,18,59,35
150,18,59,35
128,19,36,37
185,29,36,37
140,19,33,36
140,19,33,36
178,19,34,40
100,19,34,40
148,19,33,36
362,21,30,38
188,22,34,40
152,21,30,38
360,21,30,38
197,22,30,44
186,21,30,37
164,21,57,37
210,21,57,37
187,19,36,38
147,28,57,41
209,28,57,41
160,19,36,38
209,28,57,41
160,19,36,38
187,19,36,38
147,28,57,41
210,21,57,37
164,21,57,37
186,21,30,37
360,21,30,38
197,22,30,44
188,19,34,40
152,21,30,38
360,21,30,38
148,19,33,36
100,19,34,40
178,19,34,40
140,19,33,36
140,19,33,36
185,29,36,37
128,29,36,37
150,18,59,35
150,18,59,35
99,18,30,35
135,18,40,45
128,19,40,39
115,19,33,39
171,15,30,36
214,20,34,34
202,18,26,50
214,20,34,34
365,21,30,36
106,21,30,37
243,19,36,40
243,19,34,40
216,19,36,40
243,19,34,40
220,19,34,40
214,20,34,34
171,15,39,36
365,21,30,36
214,20,34,34
202,18,26,50
128,19,40,39
115,19,33,39
296,19,34,37
150,18,59,35
219,18,59,35
146,29,36,37
127,18,59,37
128,19,36,37
140,19,33,36
107,19,33,36
100,19,34,40
178,19,34,40
72,19,34,40
115,19,33,39
197,22,30,44
360,21,30,38
152,21,30,38
188,22,34,40
164,21,57,37
186,21,30,37
160,19,36,40
160,19,36,38
147,28,57,41
210,28,57,41
187,19,36,38
210,28,57,41
187,19,36,38
160,19,36,38
147,28,57,41
160,19,36,40
186,21,30,37
164,21,57,37
152,21,30,38
188,22,34,40
160,22,30,44
115,19,33,39
360,21,30,38
72,19,34,40
178,19,34,37
100,19,34,40
107,19,33,36
140,19,33,36
128,19,36,37
127,18,59,37
146,29,36,37
219,18,59,35
150,18,59,35
296,19,34,37
115,19,33,39
128,19,40,39
365,21,30,36
202,18,26,50
214,20,34,34
214,20,34,34
171,15,30,36
220,19,34,40
243,19,36,40
216,19,36,40
216,19,36,40
243,19,34,40
171,15,30,36
214,20,34,34
213,20,34,34
202,18,26,50
365,15,30,36
220,20,34,34
128,19,40,39
115,19,33,39
146,29,36,37
146,29,36,37
219,18,59,35
150,18,59,35
128,19,36,37
150,18,59,35
100,19,34,40
178,19,34,40
140,19,33,36
107,19,33,36
360,21,30,38
197,22,30,44
113,19,33,39
197,22,30,40
152,21,32,38
100,19,34,40
186,21,57,37
186,21,30,37
147,28,57,41
160,19,36,38
187,19,36,38
147,28,57,41
272,19,36,40
272,19,36,40
187,19,36,38
147,28,57,41
147,28,57,41
160,19,36,38
186,21,30,37
164,21,57,37
100,19,34,40
197,22,30,40
113,19,33,39
152,21,32,38
360,21,30,38
197,22,30,44
107,19,33,36
140,19,33,36
178,19,34,40
100,19,34,40
150,18,59,35
128,19,36,37
150,18,59,35
219,18,59,35
146,29,36,37
146,29,36,37
115,19,33,39
128,19,40,39
220,20,34,34
202,18,26,50
213,20,34,34
365,15,30,36
171,15,30,36
214,20,34,34
243,19,34,40
216,19,36,40
243,19,34,40
216,19,36,40
365,21,30,36
214,20,34,34
202,18,26,50
201,20,34,34
171,15,30,36
365,21,30,36
208,21,30,35
120,18,40,45
115,19,33,39
128,19,40,39
146,29,36,37
146,29,36,37
150,18,59,35
150,18,59,35
178,19,34,40
148,16,33,36
100,19,34,40
107,19,33,36
140,19,33,36
152,21,32,38
197,22,34,40
197,22,30,44
360,21,30,38
362,21,30,38
186,21,30,37
186,21,57,37
147,28,57,41
187,20,28,38
160,19,36,38
147,28,57,41
164,21,57,37
164,21,57,37
160,19,36,38
147,28,57,41
147,28,57,41
187,19,28,38
186,21,30,37
186,21,30,37
362,21,30,38
197,22,30,44
360,21,30,38
152,21,30,38
197,22,30,40
140,19,33,36
107,19,33,36
100,19,34,40
148,16,33,36
178,19,34,40
150,18,59,35
150,18,59,35
146,29,36,37
146,29,36,37
128,19,40,39
115,19,33,39
120,18,40,45
208,21,30,38
365,21,30,36
214,20,34,34
171,15,30,36
365,21,30,36
202,18,26,50
213,20,34,34
216,19,36,40
243,19,34,40
153,15,39,49
152,22,30,49
227,20,33,35
149,15,39,36
227,20,33,35
213,20,33,35
134,15,39,49
104,18,40,45
104,18,40,38
268,29,36,39
161,16,32,46
172,29,36,39
187,18,26,37
185,29,36,37
208,20,26,38
189,29,36,39
231,18,59,37
221,16,32,46
221,16,32,46
126,17,33,47
126,17,32,47
271,22,30,44
104,21,32,47
160,22,30,44
108,22,30,44
104,21,32,38
177,20,32,45
177,20,28,45
