algoritmo;probabilidade_erro;size_of_array;largest_sorted_subarray;k_unordered_sequence;percentual_k_unordered;percentual_maior_array
bubble;0.001;1000;716;2;0.2;71.6
bubble;0.001;1000;788;7;0.7;78.8
bubble;0.001;1000;437;4;0.4;43.7
bubble;0.001;1000;437;4;0.4;43.7
bubble;0.001;1000;822;5;0.5;82.2
bubble;0.001;1000;577;6;0.6;57.7
bubble;0.001;1000;348;9;0.9;34.8
bubble;0.001;1000;577;6;0.6;57.7
bubble;0.001;1000;625;5;0.5;62.5
bubble;0.001;1000;348;9;0.9;34.8
bubble;0.001;1000;933;3;0.3;93.3
bubble;0.001;1000;716;2;0.2;71.6
bubble;0.001;1000;974;4;0.4;97.4
bubble;0.001;1000;348;9;0.9;34.8
bubble;0.001;1000;849;3;0.3;84.9
bubble;0.001;1000;625;5;0.5;62.5
bubble;0.001;1000;659;3;0.3;65.9
bubble;0.001;1000;620;4;0.4;62.0
bubble;0.001;1000;822;5;0.5;82.2
bubble;0.001;1000;974;4;0.4;97.4
bubble;0.001;1000;501;5;0.5;50.1
bubble;0.001;1000;501;5;0.5;50.1
bubble;0.001;1000;770;2;0.2;77.0
bubble;0.001;1000;620;4;0.4;62.0
bubble;0.001;1000;659;3;0.3;65.9
bubble;0.001;1000;846;6;0.6;84.6
bubble;0.001;1000;858;3;0.3;85.8
bubble;0.001;1000;626;5;0.5;62.6
bubble;0.001;1000;686;3;0.3;68.6
bubble;0.001;1000;858;3;0.3;85.8
bubble;0.001;1000;946;1;0.1;94.6
bubble;0.001;1000;626;5;0.5;62.6
bubble;0.001;1000;626;5;0.5;62.6
bubble;0.001;1000;669;4;0.4;66.9
bubble;0.001;1000;925;3;0.3;92.5
bubble;0.001;1000;530;4;0.4;53.0
bubble;0.001;1000;773;6;0.6;77.3
bubble;0.001;1000;730;6;0.6;73.0
bubble;0.001;1000;730;6;0.6;73.0
bubble;0.001;1000;669;4;0.4;66.9
bubble;0.001;1000;925;3;0.3;92.5
bubble;0.001;1000;773;6;0.6;77.3
bubble;0.001;1000;553;4;0.4;55.3
bubble;0.001;1000;573;7;0.7;57.3
