algoritmo;probabilidade_erro;size_of_array;largest_sorted_subarray;k_unordered_sequence;percentual_k_unordered;percentual_maior_array
quick;0.05;100;27;10;10.0;27.0
quick;0.05;100;12;16;16.0;12.0
quick;0.05;100;14;17;17.0;14.0
quick;0.05;100;27;10;10.0;27.0
quick;0.05;100;12;16;16.0;12.0
quick;0.05;100;13;23;23.0;13.0
quick;0.05;100;13;23;23.0;13.0
quick;0.05;100;12;20;20.0;12.0
quick;0.05;100;12;20;20.0;12.0
quick;0.05;100;12;17;17.0;12.0
quick;0.05;100;12;17;17.0;12.0
quick;0.05;100;12;17;17.0;12.0
quick;0.05;100;16;13;13.0;16.0
quick;0.05;100;18;17;17.0;18.0
quick;0.05;100;18;17;17.0;18.0
quick;0.05;100;16;13;13.0;16.0
quick;0.05;100;12;19;19.0;12.0
quick;0.05;100;13;17;17.0;13.0
quick;0.05;100;11;20;20.0;11.0
quick;0.05;100;13;17;17.0;13.0
quick;0.05;100;11;20;20.0;11.0
quick;0.05;100;11;20;20.0;11.0
quick;0.05;100;10;18;18.0;10.0
quick;0.05;100;20;12;12.0;20.0
quick;0.05;100;14;18;18.0;14.0
quick;0.05;100;14;18;18.0;14.0
quick;0.05;100;20;12;12.0;20.0
quick;0.05;100;13;23;23.0;13.0
quick;0.05;100;20;12;12.0;20.0
quick;0.05;100;12;19;19.0;12.0
quick;0.05;100;12;19;19.0;12.0
quick;0.05;100;12;16;16.0;12.0
quick;0.05;100;12;16;16.0;12.0
quick;0.05;100;12;19;19.0;12.0
quick;0.05;100;12;19;19.0;12.0
quick;0.05;100;12;16;16.0;12.0
quick;0.05;100;12;16;16.0;12.0
quick;0.05;100;12;19;19.0;12.0
quick;0.05;100;12;19;19.0;12.0
quick;0.05;100;20;12;12.0;20.0
quick;0.05;100;20;12;12.0;20.0
quick;0.05;100;14;18;18.0;14.0
quick;0.05;100;13;23;23.0;13.0
quick;0.05;100;10;18;18.0;10.0
quick;0.05;100;14;18;18.0;14.0
quick;0.05;100;20;12;12.0;20.0
quick;0.05;100;11;20;20.0;11.0
quick;0.05;100;11;20;20.0;11.0
quick;0.05;100;13;17;17.0;13.0
quick;0.05;100;11;20;20.0;11.0
quick;0.05;100;13;17;17.0;13.0
quick;0.05;100;12;19;19.0;12.0
quick;0.05;100;18;17;17.0;18.0
quick;0.05;100;16;13;13.0;16.0
quick;0.05;100;16;13;13.0;16.0
quick;0.05;100;18;17;17.0;18.0
quick;0.05;100;12;17;17.0;12.0
quick;0.05;100;12;17;17.0;12.0
quick;0.05;100;12;17;17.0;12.0
quick;0.05;100;12;20;20.0;12.0
quick;0.05;100;12;20;20.0;12.0
quick;0.05;100;13;23;23.0;13.0
quick;0.05;100;13;23;23.0;13.0
quick;0.05;100;12;16;16.0;12.0
quick;0.05;100;14;17;17.0;14.0
quick;0.05;100;27;10;10.0;27.0
quick;0.05;100;27;10;10.0;27.0
quick;0.05;100;12;16;16.0;12.0
quick;0.05;100;27;10;10.0;27.0
quick;0.05;100;14;17;17.0;14.0
quick;0.05;100;12;16;16.0;12.0
quick;0.05;100;27;10;10.0;27.0
quick;0.05;100;13;23;23.0;13.0
quick;0.05;100;13;23;23.0;13.0
