coluna;coef_confianca;probabilidade_err;tamanho_array;algoritmo;lim_inferior;media;lim_superior;std_error;h;std_dev
k_unordered_sequence;0.98;0.02;100;merge;7.4672;7.6710;7.8748;0.0876;0.2038;2.7682
k_unordered_sequence;0.98;0.02;100;quick;9.3229;9.4350;9.5471;0.0482;0.1121;1.5224
k_unordered_sequence;0.98;0.02;100;insertion;14.4552;14.6180;14.7808;0.0700;0.1628;2.2132
k_unordered_sequence;0.98;0.02;1000;bubble;61.3945;61.7990;62.2035;0.1739;0.4045;5.4953
k_unordered_sequence;0.98;0.02;1000;merge;132.7821;133.3350;133.8879;0.2377;0.5529;7.5132
k_unordered_sequence;0.98;0.02;1000;quick;103.9524;104.4450;104.9376;0.2118;0.4926;6.6940
k_unordered_sequence;0.98;0.02;1000;insertion;185.2807;185.7410;186.2013;0.1979;0.4603;6.2564
k_unordered_sequence;0.98;0.02;10000;bubble;602.7443;604.1680;605.5917;0.6121;1.4237;19.3470
k_unordered_sequence;0.98;0.02;10000;merge;1725.2544;1727.4960;1729.7376;0.9637;2.2416;30.4595
k_unordered_sequence;0.98;0.02;10000;quick;1077.3427;1079.1800;1081.0173;0.7899;1.8373;24.9654
k_unordered_sequence;0.98;0.02;10000;insertion;1878.2566;1880.3660;1882.4754;0.9069;2.1094;28.6641
k_unordered_sequence;0.98;0.05;100;bubble;12.5952;12.7590;12.9228;0.0704;0.1638;2.2255
k_unordered_sequence;0.98;0.05;100;merge;17.1115;17.3990;17.6865;0.1236;0.2875;3.9051
k_unordered_sequence;0.98;0.05;100;quick;16.8523;17.0930;17.3337;0.1035;0.2407;3.2721
k_unordered_sequence;0.98;0.05;100;insertion;21.5719;21.7350;21.8981;0.0701;0.1631;2.2142
k_unordered_sequence;0.98;0.05;1000;bubble;116.8128;117.3720;117.9312;0.2404;0.5592;7.5989
k_unordered_sequence;0.98;0.05;1000;merge;244.4350;244.9860;245.5370;0.2369;0.5510;7.4872
k_unordered_sequence;0.98;0.05;1000;quick;188.2233;188.8560;189.4887;0.2720;0.6327;8.5964
k_unordered_sequence;0.98;0.05;1000;insertion;254.9515;255.5130;256.0745;0.2414;0.5615;7.6295
k_unordered_sequence;0.98;0.05;10000;bubble;1176.7808;1178.6130;1180.4452;0.7877;1.8322;24.8972
k_unordered_sequence;0.98;0.05;10000;merge;2830.2361;2832.1060;2833.9759;0.8039;1.8699;25.4085
k_unordered_sequence;0.98;0.05;10000;quick;1943.5335;1945.7490;1947.9645;0.9525;2.2155;30.1045
k_unordered_sequence;0.98;0.05;10000;insertion;2555.6620;2557.7510;2559.8400;0.8981;2.0890;28.3864
k_unordered_sequence;0.98;0.001;1000;bubble;4.5147;4.5847;4.6547;0.0301;0.0700;1.6483
k_unordered_sequence;0.98;0.001;1000;merge;8.1348;8.2313;8.3278;0.0415;0.0965;2.2727
k_unordered_sequence;0.98;0.001;1000;quick;9.2528;9.3870;9.5212;0.0577;0.1342;3.1604
k_unordered_sequence;0.98;0.001;1000;insertion;47.2363;47.4563;47.6763;0.0946;0.2200;5.1817
k_unordered_sequence;0.98;0.0001;10000;bubble;5.3653;5.4637;5.5621;0.0423;0.0984;2.3150
k_unordered_sequence;0.98;0.0001;10000;merge;10.6558;10.8107;10.9656;0.0666;0.1549;3.6454
k_unordered_sequence;0.98;0.0001;10000;quick;13.8253;13.9923;14.1593;0.0718;0.1670;3.9334
k_unordered_sequence;0.98;0.0001;10000;insertion;178.9921;179.5020;180.0119;0.2192;0.5099;12.0049
k_unordered_sequence;0.95;0.01;100;bubble;2.5141;2.5990;2.6839;0.0433;0.0849;1.3683
k_unordered_sequence;0.95;0.01;100;merge;3.1360;3.2320;3.3280;0.0490;0.0960;1.5480
k_unordered_sequence;0.95;0.01;100;quick;5.3248;5.4330;5.5412;0.0552;0.1082;1.7440
k_unordered_sequence;0.95;0.01;100;insertion;11.3000;11.4850;11.6700;0.0944;0.1850;2.9853
k_unordered_sequence;0.95;0.01;1000;bubble;37.9624;38.2490;38.5356;0.1462;0.2866;4.6203
k_unordered_sequence;0.95;0.01;1000;merge;72.4819;72.8080;73.1341;0.1664;0.3261;5.2581
k_unordered_sequence;0.95;0.01;1000;quick;63.1079;63.4450;63.7821;0.1720;0.3371;5.4353
k_unordered_sequence;0.95;0.01;1000;insertion;144.4329;144.8610;145.2891;0.2184;0.4281;6.9045
k_unordered_sequence;0.95;0.01;10000;bubble;346.8054;347.7050;348.6046;0.4590;0.8996;14.5068
k_unordered_sequence;0.95;0.01;10000;merge;995.7667;997.6940;999.6213;0.9833;1.9273;31.0786
k_unordered_sequence;0.95;0.01;10000;quick;656.2808;657.7330;659.1852;0.7409;1.4522;23.4181
k_unordered_sequence;0.95;0.01;10000;insertion;1443.4358;1445.2110;1446.9862;0.9057;1.7752;28.6276
k_unordered_sequence;0.95;0.02;100;bubble;3.8423;3.9370;4.0317;0.0483;0.0947;1.5274
k_unordered_sequence;0.95;0.02;100;merge;7.4993;7.6710;7.8427;0.0876;0.1717;2.7682
k_unordered_sequence;0.95;0.02;100;quick;9.3405;9.4350;9.5295;0.0482;0.0945;1.5224
k_unordered_sequence;0.95;0.02;100;insertion;14.4808;14.6180;14.7552;0.0700;0.1372;2.2132
k_unordered_sequence;0.95;0.02;1000;bubble;61.4582;61.7990;62.1398;0.1739;0.3408;5.4953
k_unordered_sequence;0.95;0.02;1000;merge;132.8691;133.3350;133.8009;0.2377;0.4659;7.5132
k_unordered_sequence;0.95;0.02;1000;quick;104.0299;104.4450;104.8601;0.2118;0.4151;6.6940
k_unordered_sequence;0.95;0.02;1000;insertion;185.3531;185.7410;186.1289;0.1979;0.3879;6.2564
k_unordered_sequence;0.95;0.02;10000;bubble;602.9683;604.1680;605.3677;0.6121;1.1997;19.3470
k_unordered_sequence;0.95;0.02;10000;merge;1725.6071;1727.4960;1729.3849;0.9637;1.8889;30.4595
k_unordered_sequence;0.95;0.02;10000;quick;1077.6318;1079.1800;1080.7282;0.7899;1.5482;24.9654
k_unordered_sequence;0.95;0.02;10000;insertion;1878.5885;1880.3660;1882.1435;0.9069;1.7775;28.6641
k_unordered_sequence;0.95;0.05;100;bubble;12.6210;12.7590;12.8970;0.0704;0.1380;2.2255
k_unordered_sequence;0.95;0.05;100;merge;17.1567;17.3990;17.6413;0.1236;0.2423;3.9051
k_unordered_sequence;0.95;0.05;100;quick;16.8901;17.0930;17.2959;0.1035;0.2029;3.2721
k_unordered_sequence;0.95;0.05;100;insertion;21.5976;21.7350;21.8724;0.0701;0.1374;2.2142
k_unordered_sequence;0.95;0.05;1000;bubble;116.9008;117.3720;117.8432;0.2404;0.4712;7.5989
k_unordered_sequence;0.95;0.05;1000;merge;244.5217;244.9860;245.4503;0.2369;0.4643;7.4872
k_unordered_sequence;0.95;0.05;1000;quick;188.3229;188.8560;189.3891;0.2720;0.5331;8.5964
k_unordered_sequence;0.95;0.05;1000;insertion;255.0399;255.5130;255.9861;0.2414;0.4731;7.6295
k_unordered_sequence;0.95;0.05;10000;bubble;1177.0691;1178.6130;1180.1569;0.7877;1.5439;24.8972
k_unordered_sequence;0.95;0.05;10000;merge;2830.5304;2832.1060;2833.6816;0.8039;1.5756;25.4085
k_unordered_sequence;0.95;0.05;10000;quick;1943.8821;1945.7490;1947.6159;0.9525;1.8669;30.1045
k_unordered_sequence;0.95;0.05;10000;insertion;2555.9907;2557.7510;2559.5113;0.8981;1.7603;28.3864
k_unordered_sequence;0.95;0.001;1000;bubble;4.5257;4.5847;4.6437;0.0301;0.0590;1.6483
k_unordered_sequence;0.95;0.001;1000;merge;8.1500;8.2313;8.3126;0.0415;0.0813;2.2727
k_unordered_sequence;0.95;0.001;1000;quick;9.2739;9.3870;9.5001;0.0577;0.1131;3.1604
k_unordered_sequence;0.95;0.001;1000;insertion;47.2709;47.4563;47.6417;0.0946;0.1854;5.1817
k_unordered_sequence;0.95;0.0001;10000;bubble;5.3808;5.4637;5.5466;0.0423;0.0829;2.3150
k_unordered_sequence;0.95;0.0001;10000;merge;10.6802;10.8107;10.9412;0.0666;0.1305;3.6454
