algoritmo;probabilidade_erro;size_of_array;largest_sorted_subarray
merge;0.0001;10000;2563
merge;0.0001;10000;2405
merge;0.0001;10000;2727
merge;0.0001;10000;1827
merge;0.0001;10000;3131
merge;0.0001;10000;3131
merge;0.0001;10000;2727
merge;0.0001;10000;1827
merge;0.0001;10000;3557
merge;0.0001;10000;2137
merge;0.0001;10000;2563
merge;0.0001;10000;2137
merge;0.0001;10000;2717
merge;0.0001;10000;2717
merge;0.0001;10000;1827
merge;0.0001;10000;1379
merge;0.0001;10000;2676
merge;0.0001;10000;2406
merge;0.0001;10000;3602
merge;0.0001;10000;3602
merge;0.0001;10000;2676
merge;0.0001;10000;2676
merge;0.0001;10000;2492
merge;0.0001;10000;2492
merge;0.0001;10000;2676
merge;0.0001;10000;3602
merge;0.0001;10000;2676
merge;0.0001;10000;2406
merge;0.0001;10000;3602
merge;0.0001;10000;2676
merge;0.0001;10000;1379
merge;0.0001;10000;1827
merge;0.0001;10000;2717
merge;0.0001;10000;2717
merge;0.0001;10000;2137
merge;0.0001;10000;2563
merge;0.0001;10000;2137
merge;0.0001;10000;3557
merge;0.0001;10000;1827
merge;0.0001;10000;3131
merge;0.0001;10000;2727
merge;0.0001;10000;1827
merge;0.0001;10000;2727
merge;0.0001;10000;3131
merge;0.0001;10000;2405
merge;0.0001;10000;2563
merge;0.0001;10000;1354
merge;0.0001;10000;3209
merge;0.0001;10000;3209
merge;0.0001;10000;1981
merge;0.0001;10000;2492
merge;0.0001;10000;2509
merge;0.0001;10000;1981
merge;0.0001;10000;2492
merge;0.0001;10000;3209
merge;0.0001;10000;2492
merge;0.0001;10000;1981
merge;0.0001;10000;1981
merge;0.0001;10000;2509
merge;0.0001;10000;3209
merge;0.0001;10000;3209
merge;0.0001;10000;2405
merge;0.0001;10000;1820
merge;0.0001;10000;1354
merge;0.0001;10000;2727
merge;0.0001;10000;3131
merge;0.0001;10000;3131
merge;0.0001;10000;2727
merge;0.0001;10000;3557
merge;0.0001;10000;1827
merge;0.0001;10000;2563
merge;0.0001;10000;3557
merge;0.0001;10000;2137
merge;0.0001;10000;2717
merge;0.0001;10000;2717
merge;0.0001;10000;1379
