algoritmo;probabilidade_erro;size_of_array;largest_sorted_subarray
merge;0.02;10000;44
merge;0.02;10000;55
merge;0.02;10000;37
merge;0.02;10000;44
merge;0.02;10000;44
merge;0.02;10000;37
merge;0.02;10000;37
merge;0.02;10000;37
merge;0.02;10000;33
merge;0.02;10000;33
merge;0.02;10000;33
merge;0.02;10000;33
merge;0.02;10000;31
merge;0.02;10000;36
merge;0.02;10000;35
merge;0.02;10000;36
merge;0.02;10000;35
merge;0.02;10000;35
merge;0.02;10000;36
merge;0.02;10000;35
merge;0.02;10000;36
merge;0.02;10000;40
merge;0.02;10000;40
merge;0.02;10000;35
merge;0.02;10000;37
merge;0.02;10000;35
merge;0.02;10000;35
merge;0.02;10000;37
merge;0.02;10000;37
merge;0.02;10000;37
merge;0.02;10000;37
merge;0.02;10000;35
merge;0.02;10000;35
merge;0.02;10000;37
merge;0.02;10000;37
merge;0.02;10000;40
merge;0.02;10000;40
merge;0.02;10000;36
merge;0.02;10000;35
merge;0.02;10000;36
merge;0.02;10000;35
merge;0.02;10000;35
merge;0.02;10000;36
merge;0.02;10000;36
merge;0.02;10000;35
merge;0.02;10000;31
merge;0.02;10000;33
merge;0.02;10000;33
merge;0.02;10000;33
merge;0.02;10000;37
merge;0.02;10000;33
merge;0.02;10000;37
merge;0.02;10000;37
merge;0.02;10000;44
merge;0.02;10000;37
merge;0.02;10000;44
merge;0.02;10000;44
merge;0.02;10000;55
merge;0.02;10000;44
merge;0.02;10000;55
merge;0.02;10000;55
merge;0.02;10000;44
merge;0.02;10000;37
merge;0.02;10000;55
merge;0.02;10000;33
merge;0.02;10000;37
merge;0.02;10000;37
merge;0.02;10000;37
merge;0.02;10000;33
merge;0.02;10000;33
merge;0.02;10000;41
merge;0.02;10000;33
merge;0.02;10000;36
merge;0.02;10000;36
merge;0.02;10000;36
merge;0.02;10000;35
merge;0.02;10000;35
merge;0.02;10000;36
merge;0.02;10000;36
merge;0.02;10000;36
merge;0.02;10000;40
merge;0.02;10000;37
merge;0.02;10000;40
merge;0.02;10000;35
merge;0.02;10000;35
merge;0.02;10000;37
merge;0.02;10000;37
merge;0.02;10000;35
merge;0.02;10000;35
merge;0.02;10000;37
merge;0.02;10000;37
merge;0.02;10000;35
merge;0.02;10000;35
merge;0.02;10000;40
merge;0.02;10000;37
merge;0.02;10000;40
merge;0.02;10000;36
merge;0.02;10000;36
merge;0.02;10000;36
merge;0.02;10000;35
merge;0.02;10000;35
merge;0.02;10000;36
merge;0.02;10000;36
merge;0.02;10000;36
merge;0.02;10000;41
merge;0.02;10000;33
merge;0.02;10000;33
merge;0.02;10000;37
merge;0.02;10000;33
merge;0.02;10000;37
merge;0.02;10000;33
merge;0.02;10000;37
merge;0.02;10000;55
merge;0.02;10000;37
merge;0.02;10000;55
merge;0.02;10000;44
merge;0.02;10000;44
merge;0.02;10000;55
merge;0.02;10000;37
merge;0.02;10000;55
merge;0.02;10000;44
