coluna;coef_confianca;probabilidade_err;tamanho_array;algoritmo;lim_inferior;media;lim_superior;std_error;h;std_dev
percentual_maior_array;0.98;0.02;10000;insertion;0.2520;0.2627;0.2734;0.0050;0.0107;0.0272
percentual_maior_array;0.98;0.05;100;bubble;24.1537;26.3333;28.5129;1.0152;2.1796;5.5605
percentual_maior_array;0.98;0.05;100;merge;12.4182;13.2667;14.1152;0.3952;0.8485;2.1645
percentual_maior_array;0.98;0.05;100;quick;16.3574;17.8000;19.2426;0.6719;1.4426;3.6803
percentual_maior_array;0.98;0.05;100;insertion;9.7324;10.5667;11.4010;0.3886;0.8343;2.1284
percentual_maior_array;0.98;0.05;1000;bubble;7.0033;7.7700;8.5367;0.3571;0.7667;1.9559
percentual_maior_array;0.98;0.05;1000;merge;1.5638;1.6467;1.7296;0.0386;0.0829;0.2113
percentual_maior_array;0.98;0.05;1000;quick;2.0473;2.1733;2.2993;0.0587;0.1260;0.3216
percentual_maior_array;0.98;0.05;1000;insertion;1.2628;1.3233;1.3838;0.0282;0.0605;0.1547
percentual_maior_array;0.98;0.05;10000;bubble;1.4760;1.6183;1.7606;0.0663;0.1423;0.3631
percentual_maior_array;0.98;0.05;10000;merge;0.1805;0.1940;0.2075;0.0063;0.0135;0.0343
percentual_maior_array;0.98;0.05;10000;quick;0.2843;0.2963;0.3083;0.0056;0.0120;0.0306
percentual_maior_array;0.98;0.05;10000;insertion;0.1753;0.1837;0.1921;0.0039;0.0084;0.0216
percentual_maior_array;0.95;0.01;100;bubble;62.4919;67.4000;72.3081;2.8922;4.9081;15.8410
percentual_maior_array;0.95;0.01;100;merge;49.6815;54.4667;59.2519;2.8198;4.7852;15.4445
percentual_maior_array;0.95;0.01;100;quick;34.6294;39.0333;43.4372;2.5951;4.4039;14.2138
percentual_maior_array;0.95;0.01;100;insertion;18.8016;19.7667;20.7318;0.5687;0.9651;3.1149
percentual_maior_array;0.95;0.01;1000;bubble;26.4418;29.5700;32.6982;1.8434;3.1282;10.0967
percentual_maior_array;0.95;0.01;1000;merge;5.9681;6.3333;6.6985;0.2152;0.3652;1.1786
percentual_maior_array;0.95;0.01;1000;quick;5.5396;5.8033;6.0670;0.1554;0.2637;0.8512
percentual_maior_array;0.95;0.01;1000;insertion;2.6204;2.7733;2.9262;0.0901;0.1529;0.4934
percentual_maior_array;0.95;0.01;10000;bubble;5.4186;5.9123;6.4060;0.2909;0.4937;1.5933
percentual_maior_array;0.95;0.01;10000;merge;0.6876;0.7417;0.7958;0.0319;0.0541;0.1749
percentual_maior_array;0.95;0.01;10000;quick;0.8534;0.9007;0.9480;0.0279;0.0473;0.1527
percentual_maior_array;0.95;0.01;10000;insertion;0.3423;0.3557;0.3691;0.0079;0.0134;0.0435
percentual_maior_array;0.95;0.02;100;bubble;44.4216;49.5667;54.7118;3.0319;5.1451;16.6064
percentual_maior_array;0.95;0.02;100;merge;22.5434;24.8333;27.1232;1.3494;2.2899;7.3910
percentual_maior_array;0.95;0.02;100;quick;19.3404;20.6333;21.9262;0.7619;1.2929;4.1728
percentual_maior_array;0.95;0.02;100;insertion;16.5219;18.0000;19.4781;0.8710;1.4781;4.7706
percentual_maior_array;0.95;0.02;1000;bubble;13.4052;14.6567;15.9082;0.7375;1.2515;4.0394
percentual_maior_array;0.95;0.02;1000;merge;3.6752;3.9133;4.1514;0.1403;0.2381;0.7687
percentual_maior_array;0.95;0.02;1000;quick;3.9917;4.2167;4.4417;0.1326;0.2250;0.7264
percentual_maior_array;0.95;0.02;1000;insertion;2.0332;2.1333;2.2334;0.0590;0.1001;0.3231
percentual_maior_array;0.95;0.02;10000;bubble;3.0271;3.4020;3.7769;0.2209;0.3749;1.2098
percentual_maior_array;0.95;0.02;10000;merge;0.3714;0.3933;0.4152;0.0129;0.0219;0.0708
percentual_maior_array;0.95;0.02;10000;quick;0.5258;0.5477;0.5696;0.0129;0.0219;0.0707
percentual_maior_array;0.95;0.02;10000;insertion;0.2542;0.2627;0.2712;0.0050;0.0085;0.0272
percentual_maior_array;0.95;0.05;100;bubble;24.6105;26.3333;28.0561;1.0152;1.7228;5.5605
percentual_maior_array;0.95;0.05;100;merge;12.5960;13.2667;13.9374;0.3952;0.6707;2.1645
