bubble,insertion,merge,quick
1.84,0.23,0.36,0.56
1.59,0.24,0.29,0.53
3.09,0.31,0.55,0.55
5.72,0.31,0.43,0.52
3.66,0.23,0.39,0.48
7.34,0.28,0.36,0.56
3.05,0.27,0.42,0.55
2.14,0.29,0.33,0.52
3.7,0.23,0.3,0.51
2.72,0.22,0.38,0.65
2.19,0.32,0.43,0.61
2.75,0.28,0.44,0.52
2.61,0.27,0.36,0.6
4.22,0.3,0.37,0.52
3.65,0.27,0.52,0.51
4.37,0.29,0.39,0.5
3.19,0.25,0.34,0.45
5.24,0.25,0.46,0.43
3.28,0.27,0.43,0.49
3.0,0.27,0.47,0.64
3.0,0.24,0.37,0.51
3.63,0.27,0.58,0.59
3.77,0.27,0.31,0.62
3.74,0.24,0.36,0.49
3.17,0.25,0.42,0.53
4.82,0.23,0.38,0.75
3.21,0.27,0.37,0.48
2.08,0.26,0.34,0.63
2.93,0.24,0.33,0.65
2.36,0.23,0.32,0.48
