bubble,insertion,merge,quick
11.7,25.57,28.45,19.58
11.79,25.87,28.24,19.59
10.87,25.36,28.53,19.66
11.49,25.69,28.65,19.28
11.81,25.72,28.66,19.52
11.6,25.61,27.69,19.55
11.54,25.5,28.81,19.61
12.01,26.1,28.27,19.64
11.72,25.95,28.31,19.15
11.66,25.29,27.94,19.21
11.29,25.68,28.07,19.81
11.24,25.29,28.36,19.24
11.52,25.13,28.86,19.45
11.16,25.47,28.78,18.95
11.48,25.44,28.22,19.95
11.88,25.87,28.52,19.68
11.75,25.58,27.96,19.46
11.98,25.46,27.92,19.6
11.49,25.68,28.39,19.58
11.65,26.01,28.24,19.48
11.66,25.47,27.99,19.7
11.53,25.57,28.22,19.57
12.08,26.03,27.81,20.07
11.55,25.88,28.37,19.18
12.48,25.46,28.72,19.75
11.71,25.31,28.5,19.71
11.51,25.15,28.26,19.93
11.23,25.55,28.42,19.32
11.63,26.12,28.64,19.64
11.23,25.81,27.92,19.98
