size_of_array,algoritmo,percentual_k_unordered_mean,percentual_maior_array_mean,percentual_k_unordered_std,percentual_maior_array_std,percentual_k_unordered_min,percentual_maior_array_min,percentual_k_unordered_max,percentual_maior_array_max
100,bubble,12.759,29.136,2.2266290389009273,8.74711472521174,10.0,13.0,18.0,48.0
100,insertion,21.735,11.292,2.2153290235725005,2.7717175935542957,19.0,7.0,25.0,16.0
100,merge,17.399,16.141,3.907053117640462,4.505709757676412,11.0,10.0,27.0,26.0
100,quick,17.093,15.081,3.273693337511637,4.409975837449323,10.0,10.0,23.0,27.0
1000,bubble,11.737200000000025,9.462499999999986,0.760272434180126,2.950496429277482,10.2,4.7,13.2,15.4
1000,insertion,25.55130000000016,1.3812000000000078,0.7633354380552441,0.2072426343914531,24.2,1.1,27.0,1.9
1000,merge,24.498599999999975,1.7832000000000032,0.7490922367633913,0.2563659171642819,23.2,1.4,26.1,2.5
1000,quick,18.88559999999997,2.3479000000000085,0.8600653186545494,0.3977861533837291,16.8,1.9,20.4,3.4
10000,bubble,11.786130000000002,1.6078700000000004,0.2490963108359333,0.3862656653965821,10.91,0.93,12.54,3.4
10000,insertion,25.577510000000068,0.17944999999999908,0.28400591412725784,0.01707891065581144,24.84,0.14,26.35,0.24
10000,merge,28.3210599999999,0.19328999999999982,0.2542119196656594,0.03196087291357039,27.9,0.14,28.9,0.29
10000,quick,19.457489999999954,0.29871000000000064,0.3011958147431962,0.03802475222512019,18.73,0.24,19.95,0.39
