probabilidade_erro,algoritmo,percentual_k_unordered_mean,percentual_maior_array_mean,percentual_k_unordered_std,percentual_maior_array_std,percentual_k_unordered_min,percentual_maior_array_min,percentual_k_unordered_max,percentual_maior_array_max
0.01,bubble,3.066666666666667,55.1,1.412587094253156,19.006986011500594,0.0,34.0,5.0,100.0
0.01,insertion,11.7,19.0,1.878186946737878,3.7965501581631025,8.0,12.0,14.0,27.0
0.01,merge,7.4,31.733333333333334,1.3287276776598393,8.986324220086084,4.0,19.0,10.0,53.0
0.01,quick,3.1666666666666665,50.833333333333336,1.8210139906170373,19.154693911691066,0.0,27.0,7.0,100.0
