probabilidade_erro,algoritmo,percentual_k_unordered_mean,percentual_maior_array_mean,percentual_k_unordered_std,percentual_maior_array_std,percentual_k_unordered_min,percentual_maior_array_min,percentual_k_unordered_max,percentual_maior_array_max
0.05,bubble,12.09411000000004,13.402123333333414,1.444384929248878,12.749166503748471,10.0,0.93,18.0,48.0
0.05,insertion,24.287936666666564,4.284216666666724,2.2617942465500405,5.2323020218515195,19.0,0.14,27.0,16.0
0.05,merge,23.406220000000058,6.03916333333336,5.077281205502252,7.631963641357095,11.0,0.14,28.9,26.0
0.05,quick,18.47869666666655,5.909203333333366,2.2048866432749206,7.021861969152253,10.0,0.24,23.0,27.0
