bubble,insertion,merge,quick
4.0,12.9,7.3,5.9
3.7,13.6,7.1,6.8
4.5,13.6,7.5,6.3
4.4,13.5,7.1,6.7
4.5,13.8,7.6,7.1
3.7,13.1,8.2,7.0
3.8,13.4,7.7,7.1
4.1,14.8,7.3,6.5
3.9,15.0,6.8,6.4
4.3,13.4,7.5,6.1
3.9,12.3,7.9,6.7
3.7,14.8,7.6,6.6
4.7,15.7,7.5,6.6
4.6,13.4,7.2,6.4
3.7,14.0,7.7,6.9
2.8,13.1,7.6,7.1
3.9,13.5,7.7,7.1
3.5,13.0,7.4,6.5
3.8,14.2,7.2,6.8
4.2,14.8,7.0,6.6
3.3,14.6,7.5,6.4
4.1,13.7,7.0,6.2
3.5,15.1,7.4,5.8
3.8,14.6,8.1,6.9
3.5,13.7,7.8,6.2
3.8,13.0,7.2,6.7
4.7,14.8,7.8,6.8
3.6,15.0,7.4,7.2
4.0,14.9,7.3,7.9
3.8,14.5,7.5,7.5
