bubble,insertion,merge,quick
15.0,1.9,4.8,4.4
12.9,2.0,3.2,3.9
10.0,1.9,2.6,3.3
17.4,2.2,4.9,4.6
19.0,1.9,4.2,4.9
10.6,2.1,4.4,3.3
21.0,1.9,3.6,4.0
24.2,3.0,4.1,4.2
13.0,2.0,4.8,3.7
9.3,2.4,3.9,5.9
13.0,2.1,3.3,3.4
13.4,2.4,4.4,3.5
18.0,2.1,2.9,3.8
12.5,2.4,3.6,4.0
13.0,2.4,3.1,4.5
18.0,2.0,5.0,3.7
9.2,2.4,3.4,4.4
12.1,1.7,4.7,4.6
17.0,2.1,3.4,3.3
13.0,2.0,3.2,5.0
8.2,3.2,3.4,4.0
15.3,1.9,3.6,4.4
21.0,2.1,4.5,3.6
11.4,1.9,3.9,5.1
17.4,1.9,3.8,4.3
16.3,2.1,6.1,5.6
21.0,2.0,3.2,4.3
12.1,1.9,3.7,3.1
10.9,2.2,3.3,5.6
14.5,1.9,4.4,4.1
