bubble,insertion,merge,quick
3.62,14.8,10.05,6.86
3.83,14.79,10.13,6.55
3.52,15.0,10.0,6.77
3.51,14.43,10.01,6.74
3.98,14.45,10.21,6.51
3.79,14.82,9.88,6.39
3.81,13.92,9.82,6.59
3.66,14.85,10.13,6.89
3.52,14.0,9.85,6.67
3.83,14.04,10.18,6.54
3.87,14.19,10.1,6.42
3.88,14.29,9.83,6.74
3.99,14.43,9.83,6.44
3.24,14.1,9.83,6.89
3.59,14.63,10.28,6.7
3.22,14.41,10.06,6.57
3.79,14.65,9.74,6.58
3.64,14.58,10.32,6.61
3.79,14.71,10.04,6.6
3.5,14.64,9.98,6.59
3.59,14.43,9.93,6.71
3.9,14.84,9.95,6.47
3.9,14.32,9.93,6.57
3.84,14.4,10.24,6.69
3.48,14.28,10.06,6.8
3.69,14.37,9.85,6.84
3.47,14.6,10.07,6.75
3.53,14.55,9.87,6.5
3.48,14.77,9.96,6.54
3.35,14.68,9.86,6.82
