size_of_array,algoritmo,percentual_k_unordered_mean,percentual_maior_array_mean,percentual_k_unordered_std,percentual_maior_array_std,percentual_k_unordered_min,percentual_maior_array_min,percentual_k_unordered_max,percentual_maior_array_max
100,bubble,12.766666666666667,26.333333333333332,1.5013403972802928,5.560534167675356,9.0,19.0,15.0,39.0
100,insertion,23.633333333333333,10.566666666666666,2.3265089035206628,2.1283526628524854,18.0,7.0,28.0,16.0
100,merge,19.2,13.266666666666667,1.5402641958779186,2.1644993581113314,16.0,9.0,22.0,18.0
100,quick,13.9,17.8,1.8448436995751345,3.6803298203023727,10.0,11.0,18.0,26.0
1000,bubble,12.099999999999998,7.770000000000001,1.0811870870674416,1.9559193975353826,9.3,5.3,13.7,14.0
1000,insertion,26.07333333333333,1.3233333333333333,0.9623725471667565,0.15465943304527222,24.7,1.1,28.8,1.7
1000,merge,24.873333333333335,1.6466666666666663,1.056974646005688,0.21129050655654058,23.0,1.3,27.3,2.4
1000,quick,18.849999999999998,2.173333333333333,0.9464088203162602,0.3215622783390098,16.8,1.7,20.4,3.1
10000,bubble,11.608000000000002,1.6183333333333334,0.31259095228153366,0.36312896287429475,10.87,1.04,12.48,2.33
10000,insertion,25.62066666666666,0.1836666666666667,0.27275014881418647,0.021573184717388734,25.13,0.16,26.12,0.26
10000,merge,28.323999999999998,0.19400000000000003,0.3131332205198031,0.034300899756973306,27.69,0.15,28.86,0.3
10000,quick,19.561333333333334,0.2963333333333333,0.26162269928584014,0.03056743064262932,18.95,0.23,20.07,0.34
