size_of_array,algoritmo,percentual_k_unordered_mean,percentual_maior_array_mean,percentual_k_unordered_std,percentual_maior_array_std,percentual_k_unordered_min,percentual_maior_array_min,percentual_k_unordered_max,percentual_maior_array_max
100,bubble,3.066666666666667,67.4,1.6386144974533723,15.841020517456654,0.0,38.0,6.0,100.0
100,insertion,10.866666666666667,19.766666666666666,1.5916448515084427,3.1148513368337034,8.0,14.0,14.0,27.0
100,merge,3.5,54.46666666666667,1.106407669457548,15.44452438028874,1.0,33.0,6.0,88.0
100,quick,4.833333333333333,39.03333333333333,1.6417680405132065,14.213843017753268,2.0,20.0,8.0,75.0
1000,bubble,3.9266666666666667,29.569999999999993,0.43226215970478366,10.096744097941194,2.8,17.8,4.7,50.5
1000,insertion,13.993333333333336,2.7733333333333325,0.8370446094210984,0.49335818514602003,12.3,2.0,15.7,3.9
1000,merge,7.463333333333334,6.333333333333332,0.32322014845584124,1.1786413374300304,6.8,5.3,8.2,10.2
1000,quick,6.6933333333333325,5.803333333333333,0.45556583485272195,0.8511587774133662,5.8,4.2,7.9,8.0
10000,bubble,3.660333333333334,5.912333333333334,0.2089626815937491,1.593349720975698,3.22,2.96,3.99,10.23
10000,insertion,14.498999999999997,0.3556666666666667,0.2768710642282731,0.043524335906386366,13.92,0.29,15.0,0.47
10000,merge,9.999666666666666,0.7416666666666666,0.15221317477377788,0.17489077050889618,9.74,0.5,10.32,1.14
10000,quick,6.644666666666667,0.9006666666666666,0.1434725333159346,0.15267575137352776,6.39,0.67,6.89,1.46
